Student ID,Name,Age,Gender,Branch,Average GPA,Backlogs,Attendance (%),Clubs,Skills,Internship Done,Internship Domain,Placement Status,Placement Domain,CTC (LPA),Alumni Path,Sem1 GPA,Sem2 GPA,Sem3 GPA,Sem4 GPA,Sem5 GPA,Sem6 GPA,Sem7 GPA,Sem8 GPA
b37412a3-fa5c-40ca-b087-7109a47482d7,Amit,21,Male,MECH,6.99,0,70.45,"Literary Society, Robotics","C++, Machine Learning, Python, Java",Yes,Consulting,Not Placed,,0,,8.34,5.24,6.06,7.81,7.18,7.04,8.26,5.99
65001423-faeb-4d19-a550-8ea26133a34d,Tina Ballard,19,Male,ECE,6.46,0,65.45,"Literary Society, Coding Club","C++, SQL, Web Development",No,,Not Placed,,0,,7.37,6.37,6.45,5.99,6.55,6.99,6.46,5.52
228aaf1d-8710-4c8d-bfec-001b0df01f34,Meena,19,Female,CIVIL,7.08,0,84.79,Literary Society,"Data Science, SQL, Machine Learning",Yes,Research,Not Placed,,0,,5.79,8.82,7.03,6.92,7.67,6.01,7.75,6.62
1aa67474-e200-4157-ad54-c95aaa4d52a8,Christopher Morales,23,Male,ECE,6.92,2,62.26,"Coding Club, Entrepreneurship Cell","Python, SQL, Java",No,,Placed,Core Engineering,5.89,Research,7.9,4.26,8.19,7.52,8.32,6.8,4.94,7.43
5122db4a-14c8-44d7-b2f4-e869f69d3dd7,Siddharth,20,Male,EEE,7.09,0,97.12,Robotics,"C++, SQL, Java, Python",Yes,Higher Studies,Not Placed,,0,,6.86,6.24,7.64,7.15,5.91,6.18,8.19,8.54
28dd6ff3-6391-4421-ba38-3c3164b96252,Siddharth,19,Male,MECH,7.36,0,62.56,Sports Club,"SQL, Python",Yes,Research,Placed,Higher Studies,6.05,Startup,5.44,9.08,8.13,8.46,7.03,6.64,6.33,7.81
5c375254-a8fc-4690-a9b1-c4a1da221b85,Alicia Dillon,18,Female,MECH,7.06,2,82.62,"Entrepreneurship Cell, Robotics, Cultural Club","Web Development, C++, Machine Learning",No,,Not Placed,,0,,7.12,7.23,8.52,7.29,8.39,6.22,5.4,6.35
1090fccc-de58-401b-9cb7-b64f927e5e08,Rahul,23,Male,IT,6.67,0,97.72,"Literary Society, Cultural Club, Sports Club","C++, Java, Web Development, SQL, Python",Yes,Software,Placed,Higher Studies,8.49,Higher Studies,6.74,6.63,8.27,6.71,4.34,7.35,6.6,6.71
3f87e362-cf8d-446a-bc2c-bb0ddd334cc7,Richard Rodriguez,18,Male,EEE,7.34,1,74.15,"Entrepreneurship Cell, Literary Society, Cultural Club","Python, SQL, C++, Web Development, Java",No,,Not Placed,,0,,7.91,6.08,7.71,5.67,9.76,6.78,6.68,8.14
db0f4094-ae51-472d-b7a5-5c76fa4e4399,Anil,18,Male,CSE,7.19,0,76.12,"Coding Club, Literary Society, Sports Club","Machine Learning, Data Science, Python, SQL, C++",Yes,Consulting,Not Placed,,0,,7.08,6.9,7.92,6.71,7.27,7.32,6.33,7.99
e87d1c78-e7c4-41c7-8049-7b717d106c60,Anna Henderson,23,Female,EEE,7.17,1,73.88,Coding Club,"C++, Python, Machine Learning",Yes,Hardware,Placed,Higher Studies,15.54,Research,9.54,7.52,6.41,6.87,8.07,6.42,7.85,4.68
e2eac79e-9c04-46b5-ba30-4ee023c04f78,Neha,23,Female,CSE,7.33,2,91.85,Literary Society,"C++, SQL, Web Development, Java",Yes,Consulting,Not Placed,,0,,8.31,7.86,6.03,7.36,8.96,5.18,6.81,8.16
1750bd26-bcfc-4af5-9881-a1f0fbbb523a,Pooja,23,Female,CIVIL,7.5,1,99.1,"Coding Club, Robotics, Sports Club","Java, Python, Web Development, Data Science, C++",No,,Placed,Research,17.51,Job,6.68,7.02,6.66,5.36,8.09,7.9,8.99,9.28
aa604892-3926-42e9-9b58-eb49c9784b52,Casey Parker,21,Female,ECE,6.72,0,84.32,"Entrepreneurship Cell, Sports Club","Machine Learning, C++, Data Science, Web Development, SQL",Yes,Software,Not Placed,,0,,7.89,7.13,5.97,6.8,5.01,8.3,6.18,6.47
f0cd7f05-ea87-455e-a382-95d31e0ef546,Lucas Robinson,20,Female,ECE,6.22,1,92.43,Sports Club,"Data Science, Machine Learning, Java",No,,Placed,Higher Studies,19.12,Startup,7.49,4.15,6.14,5.87,6.74,6.46,7.8,5.14
c24369e7-2387-4af6-94c3-a832b231c60b,Joan Smith,23,Male,EEE,6.52,0,62.63,"Robotics, Entrepreneurship Cell, Cultural Club","Data Science, C++, Python",Yes,Hardware,Placed,Software,18.08,Startup,6.69,6.03,6.17,9.18,6.82,5.64,5.23,6.38
63b664f4-0452-4779-90ff-de646edaba8c,Kimberly May,19,Male,EEE,7.06,2,65.6,"Coding Club, Cultural Club","SQL, Java, Data Science, Machine Learning, Web Development",No,,Placed,Core Engineering,8.92,Job,7.62,5.89,6.81,7.8,7.59,5.84,7.37,7.56
7a8d03aa-782a-45e0-88ca-765192f5df7b,Cody Williams,21,Female,MECH,7.23,0,75.04,"Robotics, Sports Club, Literary Society","Python, Data Science",No,,Placed,Hardware,12.35,Research,5.99,6.93,7.83,6.97,9.36,7.42,7.23,6.09
6d59c708-298e-45cc-a9e6-eaa3024e260c,Priya,22,Female,MECH,6.49,0,71.11,Cultural Club,"Web Development, Python, SQL, C++",Yes,Research,Not Placed,,0,,8.16,7.12,6.52,7.78,4.62,5.56,6.51,5.66
05a321d4-578e-468a-a1bf-4038a4de8d28,Pooja,22,Female,CIVIL,6.71,3,86.48,"Literary Society, Entrepreneurship Cell","SQL, Web Development, Java",No,,Placed,Hardware,10.9,Job,6.4,8.17,5.33,5.51,7.14,7.03,6.28,7.81
3c088990-54a2-4051-bb0c-cad9eee13cae,Michael Meadows,23,Female,MECH,6.58,1,70.52,Cultural Club,"SQL, C++, Web Development",No,,Placed,Software,9.38,Higher Studies,7.36,5.28,6.64,5.78,8.18,6.42,5.91,7.03
30de38b1-b636-4896-9fd9-75371d069988,Pooja,19,Female,EEE,7.24,2,65.67,Cultural Club,"Java, Data Science",No,,Placed,Hardware,13.17,Research,7.22,7.58,7.34,7.6,6.72,7.74,7.34,6.36
0411292b-9b9f-42dc-8f42-74c780290ce1,Anil,21,Male,CIVIL,7.54,0,74.41,"Sports Club, Literary Society, Robotics","Web Development, Data Science",Yes,Research,Not Placed,,0,,5.92,6.78,9.13,8.06,7.21,7.55,8.02,7.68
2c222096-5250-47fe-86f0-33f945641768,Neha,21,Female,CSE,7.49,0,94.13,"Coding Club, Entrepreneurship Cell, Cultural Club","SQL, C++, Web Development",No,,Placed,Software,8.58,Higher Studies,6.64,9.5,7.78,7.08,7.31,7.41,7.44,6.76
4490d77e-016f-4ace-8f4b-a812bf94bdaf,Karan,23,Male,EEE,6.87,0,70.09,Robotics,"SQL, Web Development, Java, Python",No,,Placed,Software,5.66,Job,8.18,6.79,5.03,6.89,7.65,5.99,8.33,6.08
e82c7d7b-06e7-45f9-88bc-539c9f4c3b79,Justin Johnson,23,Female,CIVIL,7.24,0,72.32,"Cultural Club, Sports Club, Literary Society","Data Science, Web Development",Yes,Higher Studies,Placed,Core Engineering,14.98,Research,7.14,7.45,6.87,8.09,4.9,9.94,6.13,7.4
d23484de-a436-415a-9041-63731d745f08,Rahul,23,Male,ECE,7.2,2,84.17,"Coding Club, Entrepreneurship Cell","C++, Data Science, SQL",Yes,Higher Studies,Not Placed,,0,,6.8,6.39,7.14,7.01,8.35,6.89,8.37,6.68
74f76d09-739c-4fa5-9bfc-270c85494255,Amanda Forbes,20,Female,ECE,7.02,0,89.66,"Sports Club, Coding Club","Python, SQL, Data Science, C++, Java",Yes,Core Engineering,Placed,Research,14.79,Job,6.86,7.65,8.4,7.33,6.03,6.1,7.73,6.04
880bcb0e-c8ab-46ac-a0b4-659a09fe4cdd,Autumn Olson,22,Male,EEE,6.86,0,98.63,"Entrepreneurship Cell, Literary Society, Sports Club","Machine Learning, Java, C++, Python, Data Science",Yes,Higher Studies,Placed,Hardware,3.14,Research,7.13,6.15,5.93,6.02,8.21,7.4,6.21,7.87
c1590f53-8a0f-4efb-adcd-465e36386821,Christina Collins,19,Female,ECE,6.87,0,88.04,Cultural Club,"Data Science, Python, C++, Java",Yes,Higher Studies,Placed,Consulting,4.24,Research,7.98,6.85,6.17,6.68,7.41,6.44,6.18,7.24
0cf173f9-74d9-41f5-8877-58043fde9814,Michele Hill,21,Female,IT,7.08,1,82.59,"Entrepreneurship Cell, Literary Society","C++, Web Development, Python",No,,Placed,Core Engineering,8.77,Research,8,6.7,6.8,7.44,7.35,7.46,5.37,7.56
631d9c8b-e0f0-4e79-81f7-4651a033edad,Robin Johnson,19,Male,ECE,6.94,3,69.49,"Sports Club, Literary Society, Cultural Club","Machine Learning, Data Science, Java, Python",No,,Not Placed,,0,,6.54,6.97,7.27,6.4,8.07,6.79,6.21,7.23
ca8e858c-d0f8-4063-889f-e107443b1d0f,Amy Davies,19,Female,CSE,7.16,0,86.89,Cultural Club,"Data Science, Python",Yes,Research,Placed,Research,6.34,Higher Studies,6.55,6.9,8.79,7.44,6.66,6.32,6.41,8.24
698f546d-5f29-4290-9848-5a54531c8812,Jessica Swanson,23,Female,CIVIL,6.7,2,80.13,"Coding Club, Sports Club","C++, Python, Web Development, SQL",No,,Placed,Consulting,18.75,Higher Studies,7.35,8.05,6.36,5.32,6.7,7.76,6.58,5.5
5667ac99-2136-4f0d-96d4-a0d028e648ad,Divya,18,Female,EEE,7.1,1,63.66,"Entrepreneurship Cell, Coding Club","C++, SQL, Web Development",No,,Not Placed,,0,,8.98,6.95,5.44,6.6,7.5,7.53,5.91,7.93
7aa061e9-336b-40cb-b1fe-ad13f280df1d,Vincent Novak,19,Female,IT,6.67,1,96.62,"Robotics, Literary Society","Data Science, Python, C++, SQL",Yes,Research,Not Placed,,0,,6.67,7.74,7.13,5.01,7.94,6.61,5.73,6.56
e7a44fad-e32b-43ad-96d7-0de3f597a515,Anil,19,Male,IT,7.3,0,87.38,Coding Club,"Machine Learning, Python, Web Development",No,,Not Placed,,0,,7.17,6.82,7.87,8.23,7.34,6.09,7.51,7.38
0d810ca6-4fee-4e9f-b557-87121f011458,Rakhi,19,Female,IT,7.31,0,60.23,Coding Club,"Python, C++, SQL",Yes,Consulting,Not Placed,,0,,7.91,7.52,8.67,6.21,7.98,6.58,7.19,6.44
27b7f912-31fc-466d-8913-89de414a9f3a,Sonal,19,Female,EEE,7.01,1,96.52,"Entrepreneurship Cell, Coding Club, Robotics","Python, Web Development, SQL, Machine Learning",Yes,Higher Studies,Placed,Hardware,15.83,Startup,7.18,5.15,7.46,6.89,8.13,6.33,6.8,8.12
4082cbb9-48bd-4b3e-a2f5-df2badaa44ca,Mary Escobar,23,Female,ECE,6.8,0,71.76,"Coding Club, Literary Society","Java, Web Development",Yes,Software,Placed,Hardware,7.03,Job,7.67,8.37,6.42,7.13,5.68,6.39,7.39,5.33
bd1531c8-3764-4bda-b108-d4482f65fafa,Dr. William Warren,21,Female,EEE,6.97,2,75.45,"Literary Society, Entrepreneurship Cell","Java, Data Science, Machine Learning, Web Development, SQL",Yes,Higher Studies,Not Placed,,0,,6.69,8.03,7.29,6.27,6.8,6.62,6.91,7.15
64dea18b-c401-4870-a647-b0c6dd431dce,Neha,22,Female,MECH,7.62,1,71.68,"Cultural Club, Robotics, Literary Society","SQL, Machine Learning, Java",Yes,Research,Placed,Higher Studies,13.11,Job,6.82,8.32,7.56,8.14,9.39,6.88,7.17,6.64
b526b22d-3f6c-41f7-8a05-37f02c2cd22b,Jeffrey Mills,21,Female,IT,7.22,3,65.27,"Entrepreneurship Cell, Robotics, Coding Club","Web Development, Java",Yes,Hardware,Not Placed,,0,,7.43,4.37,7.04,8.34,7.09,8.73,6.74,8
2d7e4a45-2099-471f-8b65-7bccb0416f19,Tiffany Fry,19,Male,MECH,7.38,0,72.69,"Cultural Club, Sports Club","SQL, Python, Web Development, Java, C++",No,,Placed,Core Engineering,7.79,Research,7.22,8.29,6.87,5.68,9.14,6.53,7.16,8.16
69bcdf4c-f0f4-4cf5-ae95-1c33ed5d4e6b,Vikram,19,Male,MECH,6.63,0,99.38,"Sports Club, Coding Club","Python, Java, Data Science, C++",No,,Placed,Research,14.33,Research,6.31,7.69,6.68,5.84,7.2,7.4,7.56,4.38
2db13deb-ee6f-4bea-8df7-164713769ff9,Hayden Shannon,20,Female,ECE,7.19,0,97.77,"Cultural Club, Robotics, Entrepreneurship Cell","Machine Learning, Web Development",Yes,Higher Studies,Not Placed,,0,,5.33,7.81,8.54,6.57,7.68,7.13,6.62,7.84
02106371-0260-4123-b1ef-e72aae13591e,Ruth Mcneil,18,Female,ECE,7.6,0,82.46,"Sports Club, Robotics, Literary Society","Python, Web Development, C++, Data Science",Yes,Hardware,Not Placed,,0,,6.94,7.43,7.5,7.04,7.62,6.58,9.22,8.49
77e8b762-bb7e-4979-92dc-bffd59008d65,Ronald Rocha,19,Female,EEE,7.09,1,96.64,"Entrepreneurship Cell, Literary Society, Cultural Club","Python, Data Science, Java, C++, Machine Learning",Yes,Consulting,Placed,Software,16.23,Higher Studies,7.67,7.81,6.36,6.97,5.56,8.7,8.07,5.6
94a1875d-2db6-4edb-82de-ffccf86c2ca2,Deborah Rodriguez,19,Male,ECE,6.86,2,78.21,"Cultural Club, Literary Society, Sports Club","Data Science, Python, Java, C++, SQL",Yes,Consulting,Not Placed,,0,,5.75,9.61,6.27,6.64,6.18,7.62,6.8,6.04
de285d9b-4a10-446d-a1d9-e78b8d87831a,Siddharth,23,Male,IT,6.49,1,78.09,Cultural Club,"C++, Java",Yes,Research,Not Placed,,0,,7.14,7.71,4.77,8.88,7.06,5.38,6.09,4.87
70f74c24-936a-4caa-8eb7-e59d3d57ab40,Priya,23,Female,ECE,6.88,1,60.96,"Literary Society, Robotics, Cultural Club","SQL, Java",No,,Placed,Higher Studies,8.7,Startup,7.32,7.13,6.67,5.99,6.21,7.1,5.89,8.77
171dabf9-daf4-41a7-ba34-d2e8dd3f7d7e,Katie Ford,21,Male,CIVIL,6.56,0,66.7,Cultural Club,"Java, SQL, Machine Learning, Web Development",No,,Placed,Core Engineering,5.5,Job,7.34,7.31,6.33,6.82,6.34,6.3,5.27,6.77
be91c7cb-61be-4118-ba42-f58ffa3f02af,Suresh,20,Male,CSE,6.5,2,74.98,"Robotics, Literary Society, Coding Club","SQL, Web Development",No,,Not Placed,,0,,6.76,8.87,6.98,6.07,5.71,6.89,5.01,5.7
6e218b09-9afd-4015-816b-cb9f7426b193,Michael Farrell,19,Female,CSE,6.68,1,91.35,"Cultural Club, Robotics","Machine Learning, Data Science, Java, SQL, Python",Yes,Consulting,Placed,Core Engineering,7.86,Startup,7.07,6.36,6,5.9,8.25,5.48,8.22,6.13
73d0b6c7-f62e-4f88-9c29-850b410bfc29,James Barber,23,Male,CSE,7.16,2,61.73,"Coding Club, Cultural Club, Robotics","SQL, Data Science, Python, Java, C++",No,,Not Placed,,0,,7.69,6.74,6.56,6.97,7.04,7.89,7.59,6.84
dfd410a5-920d-434b-bd1d-6eabacc0b7b9,Rahul,19,Male,ECE,7.27,2,75.31,Sports Club,"Data Science, Machine Learning, C++, Web Development",No,,Placed,Core Engineering,11.95,Job,6.6,6.79,7.44,6.21,8.04,7.75,7.02,8.32
